Stride_length,Speed,Stride_time,Swing%,Stance%,Activity
1.27,0.92,1.39,44.56,55.44,Level ground walking
1.17,0.95,1.23,45.79,54.21,Level ground walking
1.2,0.79,1.52,45.77,54.23,Level ground walking
1.1,1.0,1.1,47.0,53.0,Level ground walking
1.12,0.95,1.18,45.75,54.25,Level ground walking
1.19,0.94,1.27,44.84,55.16,Level ground walking
1.25,1.02,1.23,44.01,55.99,Level ground walking
1.29,1.03,1.26,43.47,56.53,Level ground walking
1.46,1.22,1.2,45.99,54.01,Level ground walking
1.16,0.93,1.25,43.88,56.12,Level ground walking
1.2,1.03,1.16,45.29,54.71,Level ground walking
1.03,0.84,1.23,44.99,55.01,Level ground walking
1.03,0.8,1.29,44.92,55.08,Level ground walking
1.27,1.12,1.13,43.97,56.03,Level ground walking
1.34,1.07,1.25,43.18,56.82,Level ground walking
1.33,1.07,1.24,45.26,54.74,Level ground walking
1.22,1.04,1.17,44.2,55.8,Level ground walking
1.24,1.09,1.14,44.41,55.59,Level ground walking
1.16,1.05,1.11,46.2,53.8,Level ground walking
1.1,0.98,1.12,43.88,56.12,Level ground walking
1.07,0.87,1.23,44.94,55.06,Level ground walking
1.31,1.12,1.17,44.45,55.55,Level ground walking
1.36,1.12,1.22,41.63,58.37,Level ground walking
1.4,1.14,1.23,45.35,54.65,Level ground walking
1.2,1.02,1.18,44.45,55.55,Level ground walking
1.19,1.07,1.11,44.55,55.45,Level ground walking
1.01,0.88,1.14,47.68,52.32,Level ground walking
1.28,1.09,1.18,44.69,55.31,Level ground walking
1.32,1.12,1.18,43.84,56.16,Level ground walking
1.12,0.98,1.15,45.17,54.83,Level ground walking
1.17,0.97,1.21,44.32,55.68,Level ground walking
1.21,1.03,1.18,44.75,55.25,Level ground walking
1.14,1.0,1.14,45.47,54.53,Level ground walking
1.09,0.96,1.12,43.64,56.36,Level ground walking
0.99,0.86,1.16,47.8,52.2,Level ground walking
1.09,1.04,1.04,47.36,52.64,Level ground walking
1.16,1.02,1.14,44.78,55.22,Level ground walking
1.01,0.84,1.19,48.99,51.01,Level ground walking
1.23,1.04,1.18,44.67,55.33,Level ground walking
1.26,1.02,1.24,46.28,53.72,Level ground walking
1.18,0.94,1.25,48.72,51.28,Level ground walking
1.23,1.02,1.21,44.03,55.97,Level ground walking
1.1,1.03,1.07,46.74,53.26,Level ground walking
1.12,1.02,1.09,44.86,55.14,Level ground walking
1.11,0.9,1.23,45.53,54.47,Level ground walking
1.16,1.05,1.11,45.21,54.79,Level ground walking
1.2,0.98,1.23,44.23,55.77,Level ground walking
1.35,0.97,1.4,41.34,58.66,Level ground walking
1.32,1.07,1.24,43.98,56.02,Level ground walking
1.24,0.99,1.25,47.11,52.89,Level ground walking
1.31,1.04,1.25,45.97,54.03,Level ground walking
1.21,1.01,1.21,43.87,56.13,Level ground walking
1.04,0.95,1.1,45.31,54.69,Level ground walking
1.0,0.84,1.2,46.32,53.68,Level ground walking
1.31,1.14,1.15,44.9,55.1,Level ground walking
1.17,1.03,1.13,47.48,52.52,Level ground walking
1.27,1.03,1.24,47.04,52.96,Level ground walking
1.21,1.03,1.18,44.99,55.01,Level ground walking
1.27,1.07,1.19,44.61,55.39,Level ground walking
1.4,1.18,1.18,44.13,55.87,Level ground walking
1.04,0.97,1.07,48.37,51.63,Level ground walking
1.88,1.71,1.1,41.55,58.45,Level ground walking
1.22,1.07,1.14,45.2,54.8,Level ground walking
1.2,1.08,1.11,46.49,53.51,Level ground walking
1.12,0.95,1.18,44.89,55.11,Level ground walking
1.13,0.87,1.31,43.5,56.5,Level ground walking
1.34,1.15,1.16,43.0,57.0,Level ground walking
1.34,1.13,1.18,44.27,55.73,Level ground walking
1.53,1.31,1.17,44.24,55.76,Level ground walking
1.25,1.02,1.24,42.59,57.41,Level ground walking
1.16,1.0,1.16,44.13,55.87,Level ground walking
1.2,0.97,1.24,44.04,55.96,Level ground walking
1.13,0.98,1.15,46.92,53.08,Level ground walking
1.17,0.94,1.24,45.92,54.08,Level ground walking
1.2,1.06,1.13,45.18,54.82,Level ground walking
1.21,0.98,1.24,43.82,56.18,Level ground walking
1.17,1.08,1.08,45.74,54.26,Level ground walking
1.16,0.98,1.18,44.45,55.55,Level ground walking
0.92,0.77,1.19,46.86,53.14,Level ground walking
1.34,1.12,1.2,42.69,57.31,Level ground walking
1.21,1.0,1.21,44.96,55.04,Level ground walking
1.13,1.01,1.12,46.11,53.89,Level ground walking
1.33,1.08,1.24,41.07,58.93,Level ground walking
1.23,1.05,1.16,45.1,54.9,Level ground walking
1.16,1.0,1.15,45.31,54.69,Level ground walking
1.04,0.86,1.21,46.82,53.18,Level ground walking
1.29,1.09,1.18,44.58,55.42,Level ground walking
1.31,1.1,1.19,44.71,55.29,Level ground walking
1.6,1.37,1.17,44.3,55.7,Level ground walking
1.22,1.04,1.17,45.52,54.48,Level ground walking
1.45,1.15,1.26,42.59,57.41,Level ground walking
1.19,1.02,1.17,44.59,55.41,Level ground walking
1.23,1.04,1.18,45.54,54.46,Level ground walking
1.21,1.04,1.16,46.29,53.71,Level ground walking
1.3,1.06,1.23,43.12,56.88,Level ground walking
1.21,0.94,1.28,43.53,56.47,Level ground walking
1.23,1.05,1.18,45.5,54.5,Level ground walking
1.37,1.13,1.22,42.06,57.94,Level ground walking
1.3,1.1,1.18,43.43,56.57,Level ground walking
1.24,1.08,1.15,44.64,55.36,Level ground walking
1.15,0.95,1.2,44.23,55.77,Level ground walking
1.07,0.88,1.21,47.11,52.89,Level ground walking
1.28,1.13,1.14,44.07,55.93,Level ground walking
1.22,1.0,1.22,44.21,55.79,Level ground walking
1.29,1.03,1.25,44.02,55.98,Level ground walking
1.31,1.1,1.2,45.03,54.97,Level ground walking
1.48,1.26,1.17,43.93,56.07,Level ground walking
1.27,1.07,1.19,43.04,56.96,Level ground walking
1.26,1.07,1.17,44.24,55.76,Level ground walking
1.13,0.97,1.16,45.45,54.55,Level ground walking
1.26,1.02,1.24,46.04,53.96,Level ground walking
1.27,1.02,1.25,43.34,56.66,Level ground walking
1.33,1.09,1.22,43.01,56.99,Level ground walking
1.3,1.11,1.17,43.33,56.67,Level ground walking
1.25,1.03,1.2,43.52,56.48,Level ground walking
1.34,1.05,1.27,43.37,56.63,Level ground walking
1.33,1.12,1.19,43.39,56.61,Level ground walking
1.22,1.09,1.12,44.04,55.96,Level ground walking
1.23,1.05,1.17,45.09,54.91,Level ground walking
1.09,0.92,1.18,45.28,54.72,Level ground walking
1.37,1.12,1.22,43.43,56.57,Level ground walking
1.37,1.11,1.24,43.58,56.42,Level ground walking
1.52,1.32,1.15,44.97,55.03,Level ground walking
1.29,1.08,1.19,43.7,56.3,Level ground walking
1.19,1.04,1.15,45.64,54.36,Level ground walking
1.09,0.89,1.22,45.53,54.47,Level ground walking
1.05,0.87,1.21,43.6,56.4,Ramp ascent
0.92,0.78,1.17,43.0,57.0,Ramp ascent
1.07,0.89,1.2,40.15,59.85,Ramp ascent
1.1,0.92,1.2,42.31,57.69,Ramp ascent
1.03,0.9,1.14,43.78,56.22,Ramp ascent
1.13,0.97,1.17,42.38,57.62,Ramp ascent
1.15,1.02,1.14,42.47,57.53,Ramp ascent
1.03,0.88,1.18,42.17,57.83,Ramp ascent
1.11,0.94,1.19,42.42,57.58,Ramp ascent
1.47,1.34,1.1,39.11,60.89,Ramp ascent
1.0,0.85,1.18,41.94,58.06,Ramp ascent
